kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
7747425;K01952.04;Kepler-341 e;CONFIRMED;CANDIDATE;10.000;0;0;0;0;42.472.907.800;3,69E+03;-3,69E+03;1.462.871.200;7,60E+03;-7,60E+03;0.3610;0.1100;-0.3610;725.300;0.21400;-0.21400;3,34E+06;1,55E+04;-1,55E+04;2.03;2,90E+02;-2,90E+02;539.0;;;19.93;7.60;-6.10;22.80;3;q1_q17_dr25_tce;5616.00;76.00;-76.00;4.327;0.132;-0.108;11.110;0.1600;-0.1600;289.861.570;43.472.771;14.601
9892816;K01955.01;Kepler-342 b;CONFIRMED;CANDIDATE;0.9980;0;0;0;0;15.170.269.210;4,08E+02;-4,08E+02;1.326.655.000;2,08E+03;-2,08E+03;0.9170;0.0230;-0.6520;433.110;0.05670;-0.05670;2,25E+06;5,20E+03;-5,20E+03;2.47;4,10E+02;-3,40E+02;905.0;;;158.23;72.98;-49.43;45.40;1;q1_q17_dr25_tce;6297.00;113.00;-126.00;4.260;0.090;-0.110;13.690;0.2280;-0.1870;292.678.070;46.726.711;13.147
9892816;K01955.02;Kepler-342 d;CONFIRMED;CANDIDATE;0.6030;0;0;0;0;39.457.622.800;2,74E+03;-2,74E+03;1.364.739.800;5,36E+03;-5,36E+03;0.9670;0.0070;-0.0140;955.700;0.38700;-0.38700;2,45E+06;6,90E+03;-6,90E+03;2.80;4,60E+02;-3,80E+02;658.0;;;44.26;20.41;-13.83;41.60;2;q1_q17_dr25_tce;6297.00;113.00;-126.00;4.260;0.090;-0.110;13.690;0.2280;-0.1870;292.678.070;46.726.711;13.147
9836149;K01958.01;Kepler-66 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;17.815.968.900;9,02E+02;-9,02E+02;1.344.832.000;4,09E+03;-4,09E+03;0.9110;0.0160;-0.6480;367.650;0.09720;-0.09720;7,77E+06;3,94E+04;-3,94E+04;3.12;4,60E+02;-2,10E+02;699.0;;;56.48;23.14;-11.54;22.50;1;q1_q17_dr25_tce;5964.00;107.00;-131.00;4.484;0.040;-0.120;0.9330;0.1360;-0.0630;293.981.570;46.687.752;15.200
4813563;K01959.01;Kepler-1026 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;36.515.763.900;1,07E+03;-1,07E+03;1.512.898.900;2,40E+03;-2,40E+03;0.7870;0.0050;-0.5620;365.770;0.08900;-0.08900;8,61E+06;2,76E+04;-2,76E+04;2.55;1,00E+02;-1,40E+02;425.0;;;7.71;1.14;-1.29;34.70;1;q1_q17_dr25_tce;4847.00;77.00;-77.00;4.540;0.052;-0.021;0.7810;0.0300;-0.0450;283.605.260;39.997.978;14.254
2985767;K02032.01;Kepler-1063 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;14.079.692.360;3,10E+02;-3,10E+02;1.399.605.300;1,84E+03;-1,84E+03;0.5440;0.3960;-0.3340;137.500;0.06360;-0.06360;1,70E+06;7,80E+03;-7,80E+03;2.08;3,60E+02;-5,50E+02;931.0;;;177.81;80.90;-86.16;26.20;1;q1_q17_dr25_tce;5821.00;78.00;-78.00;4.097;0.221;-0.102;15.470;0.2700;-0.4060;290.526.760;38.142.979;12.261
2304320;K02033.01;Kepler-1064 b;CONFIRMED;CANDIDATE;0.9980;0;0;0;0;16.540.813.860;4,04E+02;-4,04E+02;1.339.527.400;2,00E+03;-2,00E+03;0.6880;0.0110;-0.5090;259.960;0.06400;-0.06400;3,70E+06;1,28E+04;-1,28E+04;1.57;1,00E+02;-8,00E+01;570.0;;;24.87;5.58;-4.14;32.80;1;q1_q17_dr25_tce;5064.00;101.00;-101.00;4.572;0.028;-0.048;0.7690;0.0490;-0.0380;291.741.640;37.688.938;13.755
3657758;K02034.01;Kepler-1065 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;3.609.313.059;7,61E+01;-7,61E+01;1.337.902.400;1,86E+03;-1,86E+03;0.4080;0.0320;-0.4080;177.520;0.05400;-0.05400;1,38E+07;4,51E+04;-4,51E+04;3.26;9,20E+02;-3,10E+02;1092.0;;;336.16;286.59;-94.96;35.00;1;q1_q17_dr25_tce;5668.00;169.00;-186.00;4.545;0.036;-0.192;0.8680;0.2460;-0.0820;294.511.260;38.790.501;15.540
9790806;K02035.01;Kepler-1066 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;1.931.555.460;1,50E+02;-1,50E+02;1.317.670.800;6,06E+03;-6,06E+03;0.8610;0.1130;-0.6350;161.400;0.21700;-0.21700;5,05E+06;7,25E+04;-7,25E+04;2.25;2,60E+02;-9,00E+01;1290.0;;;655.43;208.06;-85.99;8.60;1;q1_q17_dr25_tce;5461.00;73.00;-81.00;4.552;0.018;-0.102;0.8580;0.1010;-0.0340;298.866.580;46.502.239;13.007
6382217;K02036.01;Kepler-353 c;CONFIRMED;CANDIDATE;0.9780;0;0;0;0;8.411.003.050;2,33E+02;-2,33E+02;1.337.985.600;2,34E+03;-2,34E+03;0.9050;0.0050;-0.6260;245.530;0.06210;-0.06210;7,56E+06;3,07E+04;-3,07E+04;1.80;9,00E+01;-1,30E+02;472.0;;;11.71;2.42;-2.45;27.60;1;q1_q17_dr25_tce;3757.00;75.00;-83.00;4.718;0.039;-0.024;0.5390;0.0300;-0.0380;296.856.630;41.758.179;15.773
