mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler,11960862,K00782.01,173.634044,6.575316,0.179517,1
Kepler,12020329,K00783.01,169.994217,7.275041,0.314071,1
Kepler,12066335,K00784.01,186.770930,19.271539,0.114975,1
Kepler,12066335,K00784.02,136.289060,10.065243,0.057042,1
Kepler,12070811,K00785.01,178.747250,12.393565,0.162067,1
Kepler,8395660,K00116.02,151.935380,43.844397,0.283417,1
Kepler,3120431,K00798.01,171.639430,3.341913,0.158875,0
Kepler,3246984,K00799.01,169.820171,1.626630,0.088104,0
Kepler,3342970,K00800.01,170.034170,2.711504,0.125413,1
Kepler,3342970,K00800.02,172.817820,7.212037,0.168713,1
Kepler,12459725,K00789.01,171.502370,14.179819,0.104375,0
Kepler,12470844,K00790.01,174.162120,8.472379,0.113521,1
Kepler,12470844,K00790.02,181.163670,60.418937,0.209958,1
Kepler,12644822,K00791.01,180.892284,12.611904,0.214571,1
Kepler,2440757,K00792.01,170.403536,1.433770,0.078617,0
Kepler,2445129,K00793.01,173.315430,10.318723,0.159833,0
Kepler,2713049,K00794.01,169.674940,2.539183,0.101175,1
Kepler,3114167,K00795.01,170.576620,6.770300,0.086850,1
Kepler,3114661,K00796.01,169.865406,0.444292,0.086633,0
Kepler,4139816,K00812.02,147.465540,20.060363,0.138346,1
Kepler,4139816,K00812.03,165.237290,46.184204,0.198250,1
Kepler,8395660,K00116.04,147.537000,23.980085,0.222958,1
Kepler,4139816,K00812.04,136.549950,7.825022,0.091083,1
Kepler,4275191,K00813.01,170.527552,3.895937,0.096296,1
Kepler,4476123,K00814.01,175.458620,22.366465,0.217833,1
Kepler,3351888,K00801.01,170.826656,1.625522,0.099568,1
Kepler,3554600,K00803.01,171.798200,7.544039,0.259250,0
Kepler,3734868,K00805.01,174.581054,10.328036,0.324646,0
Kepler,3832474,K00806.01,154.235520,143.206305,0.372092,1
Kepler,8395660,K00116.03,135.639160,6.164876,0.135917,1
Kepler,3832474,K00806.02,243.892578,60.324942,0.275783,1
Kepler,3832474,K00806.03,150.699220,29.159862,0.200125,1
Kepler,3836375,K00807.01,170.504790,1.540397,0.089754,0
Kepler,3838486,K00808.01,171.983400,2.990254,0.225583,0
Kepler,3935914,K00809.01,170.648350,1.594745,0.081683,1
Kepler,4049131,K00811.01,181.434280,20.505889,0.169146,1
Kepler,4139816,K00812.01,171.979062,3.340219,0.079600,1
Kepler,5287983,K00828.01,171.002455,2.507090,0.083612,0
Kepler,5358241,K00829.01,174.771000,18.649327,0.183567,1
Kepler,10875245,K00117.02,138.605480,4.901450,0.173558,1
Kepler,5358241,K00829.02,138.786080,9.751921,0.199708,1
Kepler,5358241,K00829.03,163.850630,38.557655,0.241417,1
Kepler,5358624,K00830.01,170.047995,3.525633,0.108316,1
Kepler,4664847,K00816.01,174.997206,7.748094,0.149821,1
Kepler,4725681,K00817.01,186.221820,23.967937,0.159458,1
Kepler,4725681,K00817.02,135.792840,8.295617,0.055921,1
Kepler,4913852,K00818.01,176.339680,8.114375,0.094733,1
Kepler,4932348,K00819.01,196.934947,38.036729,0.181090,0
Kepler,11913073,K00011.01,171.665040,3.747838,0.211008,0
Kepler,10875245,K00117.01,138.777990,14.749148,0.254146,1
Kepler,5021899,K00821.01,174.010850,21.812960,0.182462,1
Kepler,5077629,K00822.01,172.181092,7.919369,0.138117,0
Kepler,5164255,K00824.01,173.614020,15.375624,0.138204,1
Kepler,5252423,K00825.01,176.948600,8.103633,0.131708,1
Kepler,5252423,K00825.02,134.961780,4.715108,0.104417,1
Kepler,5272878,K00826.01,171.135750,6.365840,0.123838,1
Kepler,5283542,K00827.01,174.776020,5.975818,0.127708,0
Kepler,5649215,K00839.01,170.669510,2.446737,0.196712,0
Kepler,5651104,K00840.01,169.949011,3.040330,0.076713,1
Kepler,5792202,K00841.01,174.002780,15.335287,0.162375,1
Kepler,10875245,K00117.04,137.802190,7.958253,0.182375,1
Kepler,5792202,K00841.02,153.430310,31.330461,0.215667,1
Kepler,5370302,K00831.01,173.393734,3.904342,0.159625,0
Kepler,5372966,K00832.01,171.821469,9.286358,0.145812,0
Kepler,5376067,K00833.01,173.276125,3.951405,0.091092,0
Kepler,5436502,K00834.01,171.376107,23.653694,0.342429,1
Kepler,5436502,K00834.02,140.321960,13.233522,0.280717,1
Kepler,5436502,K00834.03,134.816560,6.155603,0.207679,1
Kepler,5436502,K00834.04,134.174620,2.090811,0.141167,1
Kepler,10875245,K00117.03,133.498630,3.180028,0.149154,1
Kepler,5436502,K00834.05,178.501400,50.446742,0.298292,1
Kepler,5456651,K00835.01,180.936130,11.763072,0.121150,1
Kepler,5456651,K00835.02,132.292590,56.227927,0.148750,1
Kepler,5481416,K00836.01,171.583620,2.384053,0.128825,0
Kepler,5531576,K00837.01,174.662240,7.953547,0.109633,1
Kepler,5531576,K00837.02,135.928310,4.144517,0.097587,1
Kepler,5534814,K00838.01,173.011469,4.859386,0.094821,0
Kepler,6291653,K00850.01,176.522462,10.526295,0.105046,1
Kepler,6392727,K00851.01,169.973972,4.583521,0.112729,1
Kepler,6422070,K00852.01,171.903640,3.761818,0.146567,1
Kepler,6428700,K00853.01,169.691380,8.203970,0.123613,1
Kepler,6428700,K00853.02,143.416590,14.496452,0.167333,1
Kepler,5794379,K00842.01,175.355260,12.718099,0.128988,1
Kepler,5794379,K00842.02,198.584230,36.065882,0.180192,1
Kepler,5881688,K00843.01,171.441220,4.190426,0.119121,1
Kepler,6022556,K00844.01,171.987982,3.709871,0.127892,1
Kepler,6032497,K00845.01,177.295060,16.329753,0.261292,1
Kepler,6061119,K00846.01,186.713552,27.807566,0.175661,1
Kepler,6191521,K00847.01,203.895000,80.872347,0.466458,1
Kepler,6267425,K00848.01,172.002627,3.166466,0.122421,0
Kepler,3531558,K00118.01,138.681670,24.993243,0.247537,1
Kepler,6276477,K00849.01,170.937290,10.355331,0.132396,1
Kepler,6863998,K00867.01,180.283190,16.085189,0.166000,1
Kepler,6948054,K00869.01,174.950370,7.490183,0.113737,1
Kepler,6948054,K00869.02,201.286900,36.276124,0.199438,1
Kepler,6948054,K00869.03,137.265940,17.460879,0.094338,1
Kepler,6435936,K00854.01,201.165780,56.056075,0.195208,1
Kepler,6522242,K00855.01,195.787450,41.408317,0.209433,1
Kepler,6587280,K00857.01,174.879310,5.715426,0.105175,1
Kepler,9471974,K00119.01,141.911924,49.183942,0.472350,1
Kepler,6587280,K00857.02,146.911090,20.026141,0.067125,1
Kepler,6675056,K00859.01,175.404600,10.443320,0.114292,0
Kepler,6685526,K00861.01,170.819140,2.237490,0.075496,1
Kepler,6756669,K00862.01,173.822834,5.851521,0.129608,0
Kepler,6784235,K00863.01,172.147959,3.167893,0.090892,1
Kepler,6849310,K00864.01,173.576483,4.311780,0.113546,1
Kepler,6849310,K00864.02,188.088210,20.050449,0.189833,1
Kepler,6849310,K00864.03,186.577180,9.767345,0.069104,1
Kepler,9471974,K00119.02,312.684980,190.320047,0.636833,1
Kepler,6862603,K00866.01,171.648106,2.861160,0.078467,0
Kepler,7366258,K00880.01,194.120740,26.444393,0.165763,1
Kepler,7366258,K00880.02,174.055011,51.539980,0.266642,1
Kepler,7366258,K00880.03,136.783930,5.902246,0.120846,1
Kepler,7366258,K00880.04,135.080841,2.382952,0.078650,1
Kepler,7373451,K00881.01,207.675930,21.022506,0.171133,1
Kepler,6948054,K00869.04,133.004060,3.219815,0.086008,1
Kepler,6949607,K00870.01,172.184012,5.912273,0.096892,1
Kepler,6949607,K00870.02,175.684180,8.985819,0.119192,1
Kepler,11869052,K00120.01,137.913940,20.545237,0.104875,0
Kepler,7109675,K00872.01,186.680343,33.601234,0.183567,1
Kepler,7109675,K00872.02,138.063700,6.766529,0.120850,1
Kepler,7118364,K00873.01,172.233430,4.347289,0.087600,1
Kepler,7134976,K00874.01,169.981080,4.601812,0.094196,1
Kepler,7134976,K00874.02,137.178140,11.187199,0.135500,1
Kepler,7270230,K00876.01,171.898913,6.998100,0.085367,0
Kepler,7287995,K00877.01,170.955871,5.954900,0.099550,1
Kepler,7287995,K00877.02,181.225360,12.039875,0.114013,1
Kepler,7287995,K00877.03,132.084880,20.837629,0.098892,1
Kepler,3247396,K00121.01,136.456800,8.811102,0.211179,0
Kepler,7303253,K00878.01,173.819940,23.589171,0.211375,1
Kepler,5094751,K00123.01,122.977657,6.481633,0.157667,1
Kepler,7678434,K00892.01,172.617290,10.371689,0.126458,1
Kepler,7685981,K00893.01,172.185820,4.408413,0.208833,1
Kepler,7708215,K00894.01,174.525630,7.942618,0.279292,0
Kepler,7373451,K00881.02,207.359710,226.890478,0.314917,1
Kepler,7377033,K00882.01,170.694208,1.956811,0.091492,0
Kepler,7434875,K00884.01,177.186096,9.439459,0.120746,1
Kepler,8349582,K00122.01,131.969055,11.523067,0.161488,1
Kepler,7434875,K00884.02,178.667860,20.477488,0.118183,1
Kepler,7434875,K00884.03,135.316230,3.336123,0.081733,1
Kepler,7455287,K00886.01,170.207390,8.010785,0.096333,1
Kepler,7455287,K00886.02,143.459480,12.071342,0.180100,1
Kepler,7455287,K00886.03,152.315540,20.995879,0.109721,1
Kepler,7458762,K00887.01,175.347540,7.411132,0.105175,1
Kepler,7552344,K00888.01,169.974229,1.000747,0.041529,0
Kepler,757450,K00889.01,169.991686,8.884923,0.086252,1
Kepler,7585481,K00890.01,176.623731,8.098889,0.175100,1
Kepler,7663691,K00891.01,176.968980,10.006530,0.222667,1
Kepler,5812701,K00012.01,146.596466,17.855222,0.308870,1
Kepler,8039892,K00903.01,173.433997,5.007317,0.176508,1
Kepler,8150320,K00904.01,170.150139,2.211117,0.068687,1
Kepler,8150320,K00904.02,178.737910,27.954134,0.164583,1
Kepler,11086270,K00124.01,137.125940,12.691044,0.157196,1
Kepler,7767559,K00895.01,171.894330,4.409409,0.160983,0
Kepler,7825899,K00896.01,175.569907,16.239471,0.168225,1
Kepler,7825899,K00896.02,174.047661,6.308202,0.124104,1
Kepler,7849854,K00897.01,169.890622,2.052350,0.086575,1
Kepler,7870390,K00898.01,175.713720,9.770449,0.102154,1
Kepler,7870390,K00898.02,172.631530,5.169804,0.089708,1
Kepler,5094751,K00123.02,137.574030,21.222612,0.271221,1
Kepler,7870390,K00898.03,147.977880,20.090170,0.173083,1
Kepler,7907423,K00899.01,174.323510,7.113733,0.090683,1
Kepler,7907423,K00899.02,134.372110,3.306552,0.075737,1
Kepler,7907423,K00899.03,147.389650,15.368457,0.102975,1
Kepler,8490993,K00911.01,171.009540,4.093578,0.107637,1
Kepler,8490993,K00911.02,178.367000,105.145959,0.358042,1
Kepler,8505670,K00912.01,171.805840,10.848452,0.124971,1
Kepler,8505670,K00912.02,137.439880,6.668332,0.079792,1
Kepler,8544996,K00913.01,169.637565,4.082275,0.134590,1
Kepler,8150320,K00904.03,139.060400,42.140609,0.211792,1
Kepler,8150320,K00904.04,135.049090,4.617491,0.094242,1
Kepler,8150320,K00904.05,137.920670,10.198493,0.101179,1
Kepler,8180063,K00905.01,172.697467,5.795064,0.135400,0
Kepler,8226994,K00906.01,174.135110,7.156816,0.107842,1
Kepler,8226994,K00906.02,133.545330,17.648309,0.086971,1
Kepler,8226994,K00906.03,133.388100,4.148107,0.105625,1
Kepler,8247638,K00907.01,176.116860,16.514110,0.173229,1
Kepler,8247638,K00907.02,190.383360,30.132930,0.215500,1
Kepler,8247638,K00907.03,136.311060,4.790908,0.108458,1
Kepler,11086270,K00124.02,142.820830,31.719810,0.200792,1
Kepler,8247638,K00907.04,198.686640,99.641596,0.185333,1
Kepler,8255887,K00908.01,171.446507,4.708326,0.131714,1
Kepler,8256049,K00909.01,172.759260,16.371987,0.160204,0
Kepler,8414716,K00910.01,171.727070,5.392027,0.124183,1
Kepler,9141746,K00929.01,174.633553,6.491683,0.179208,1
Kepler,9159275,K00930.01,172.019160,3.044771,0.417225,0
Kepler,9166862,K00931.01,170.678784,3.855604,0.134079,1
Kepler,9166870,K00932.01,170.679570,3.855599,0.132625,0
Kepler,11449844,K00125.01,151.852812,38.478766,0.210070,1
Kepler,8605074,K00915.01,194.713383,37.601661,0.346085,0
Kepler,8628973,K00916.01,171.313058,3.314947,0.075029,1
Kepler,8655354,K00917.01,173.357760,6.719691,0.125963,0
Kepler,8672910,K00918.01,206.596798,39.643155,0.272050,1
Kepler,8686150,K00919.01,173.535933,51.425986,0.705925,0
Kepler,8689031,K00920.01,190.497370,21.804516,0.142071,1
Kepler,8689373,K00921.01,175.339880,10.281946,0.143192,1
Kepler,8689373,K00921.02,182.615350,18.119930,0.176288,1
Kepler,8689373,K00921.03,133.281330,3.784029,0.079217,1
Kepler,8826878,K00922.01,171.638900,5.154481,0.134500,1
Kepler,5897826,K00126.01,202.259731,33.803644,0.478387,0
Kepler,8883593,K00923.01,174.898924,5.743470,0.143383,1
Kepler,9016295,K00925.01,171.630091,19.974485,0.176450,0
Kepler,9077124,K00926.01,170.966145,3.166354,0.138038,1
Kepler,9097120,K00927.01,188.982797,23.899634,0.159117,0
Kepler,9466668,K00939.01,170.533600,3.388012,0.111871,1
Kepler,9466668,K00939.02,132.092610,5.839098,0.132979,1
Kepler,9466668,K00939.03,132.063880,1.620468,0.091200,1
Kepler,9466668,K00939.04,131.550820,10.681695,0.150208,1
Kepler,9479273,K00940.01,169.573477,6.104849,0.195467,1
Kepler,8359498,K00127.01,134.030419,3.578781,0.121287,1
Kepler,9171801,K00933.01,171.649760,3.187068,0.129958,0
Kepler,9334289,K00934.01,173.011411,5.826658,0.121596,1
Kepler,9334289,K00934.02,142.540390,12.412163,0.155792,1
Kepler,9334289,K00934.03,147.130740,18.746490,0.162292,1
Kepler,9347899,K00935.01,180.017757,20.860212,0.216404,1
Kepler,9347899,K00935.02,141.169540,42.634278,0.258325,1
Kepler,9347899,K00935.03,134.942220,87.647607,0.369625,1
Kepler,9388479,K00936.01,178.415842,9.467821,0.101363,1
Kepler,9388479,K00936.02,134.540342,0.893041,0.045754,1
Kepler,11359879,K00128.01,136.329435,4.942783,0.135561,1
Kepler,9406990,K00937.01,176.585690,20.834267,0.168558,1
Kepler,9415172,K00938.01,171.701920,9.946024,0.141092,1
Kepler,9415172,K00938.02,133.919120,1.045622,0.078979,1
Kepler,9415172,K00938.03,132.638660,5.714624,0.097333,1
Kepler,9904059,K00145.01,158.074730,102.964195,0.655625,0
Kepler,3231341,K01102.02,140.568110,8.145160,0.211375,1
Kepler,3231341,K01102.03,144.741570,18.998528,0.188708,1
Kepler,3231341,K01102.04,137.066430,4.244390,0.136750,1
Kepler,7626506,K00150.02,143.831500,28.574269,0.205946,1
Kepler,10485069,K01171.01,133.523120,0.445277,0.147458,0
Kepler,3233043,K00966.01,170.248016,0.379464,0.036207,0
Kepler,6579806,K00967.01,173.608672,9.880480,0.116024,0
Kepler,3560301,K00968.01,261.093950,4.648416,1.591412,0
Kepler,4044005,K00969.01,174.282592,17.512015,0.076033,0
Kepler,5802246,K01044.01,133.744359,0.525154,0.089338,0
Kepler,6066403,K01045.01,134.212059,1.303861,0.168921,0
Kepler,6209637,K01046.01,133.431080,0.734525,0.279167,0
Kepler,5988031,K01047.01,134.500780,2.555492,0.378458,0
Kepler,7684873,K00014.01,171.522978,2.947377,0.087129,0
Kepler,8559644,K00139.01,142.095338,224.778935,0.466246,1
Kepler,2851100,K01104.01,133.264700,0.890111,0.036558,0
Kepler,3130300,K01105.01,133.309410,5.765734,0.121833,0
Kepler,3240158,K01106.01,139.900390,7.426081,0.151579,1
Kepler,3240158,K01106.02,137.596400,15.986893,0.173250,1
Kepler,3228959,K01107.01,133.688760,0.730946,0.180000,0
Kepler,3218908,K01108.01,149.495580,18.925372,0.165979,1
Kepler,10341913,K01172.01,134.318310,0.933749,0.177333,0
Kepler,10480921,K01173.01,133.599620,2.037441,0.143417,0
Kepler,10350571,K01175.01,142.964900,31.592581,0.565250,1
Kepler,3749365,K01176.01,178.689419,1.973761,0.076059,1
Kepler,11673674,K00133.01,133.386535,4.618768,0.249821,0
Kepler,3632418,K00975.01,260.837310,2.785821,0.148329,1
Kepler,3441784,K00976.01,184.971267,52.569019,0.281279,0
Kepler,5820218,K01048.01,133.180860,3.411759,0.131583,0
Kepler,5876368,K01049.01,133.187901,0.525426,0.045004,0
Kepler,5809890,K01050.01,133.343682,1.269091,0.061029,1
Kepler,5809890,K01050.02,133.796780,2.853134,0.061042,1
Kepler,9048161,K00146.01,137.341841,8.667822,0.206908,0
Kepler,3218908,K01108.02,131.832720,1.475323,0.096479,1
Kepler,3218908,K01108.03,134.579910,4.152461,0.107312,1
Kepler,3235672,K01109.01,134.777598,6.721078,0.310833,0
Kepler,2837111,K01110.01,135.081800,8.734885,0.187083,1
Kepler,3120276,K01111.01,136.496630,10.265477,0.155542,0
Kepler,3547091,K01177.01,180.681540,3.305578,0.107929,0
Kepler,3869825,K01178.01,134.365782,4.800654,0.376746,0
Kepler,3655332,K01179.01,140.654788,15.066499,0.249521,0
Kepler,4042026,K01180.01,163.015559,34.820082,0.465462,0
Kepler,3344419,K01181.01,133.111707,0.651784,0.083921,0
Kepler,11192141,K00977.01,261.436620,1.353772,0.292167,0
Kepler,11494130,K00978.01,262.466770,18.954916,1.010375,0
Kepler,5648449,K00979.01,262.727680,4.348866,0.136654,0
Kepler,12167361,K00980.01,179.096467,47.930945,0.112071,0
Kepler,8607720,K00981.01,261.724300,3.997514,0.153583,0
Kepler,1433962,K00982.01,133.924380,1.592633,0.231688,0
Kepler,5956342,K01052.01,143.333950,17.029028,0.193542,1
Kepler,5956342,K01052.02,132.172650,6.846192,0.147042,1
Kepler,5956342,K01052.03,125.881000,67.832164,0.306583,1
Kepler,5956342,K01052.04,166.261050,43.131215,0.133250,1
Kepler,5956656,K01053.01,133.208240,1.224866,0.071192,1
Kepler,2854914,K01113.01,149.762730,25.934064,0.192258,1
Kepler,2854914,K01113.02,158.680610,83.446348,0.272333,1
Kepler,3337425,K01114.01,139.797370,7.047100,0.121917,0
Kepler,3116412,K01115.01,136.320160,12.992049,0.250729,1
Kepler,3865567,K01182.01,133.100575,11.116202,0.175458,0
Kepler,3544689,K01183.01,134.658644,1.922861,0.148892,0
Kepler,4037164,K01184.01,134.184037,0.635445,0.077467,0
Kepler,3443790,K01185.01,133.863028,1.665784,0.078942,0
Kepler,3966912,K01186.01,156.350170,55.663917,0.981083,0
Kepler,8394721,K00152.01,158.744665,52.090816,0.359950,1
Kepler,11607193,K00983.01,266.048470,7.154861,0.320583,0
Kepler,10227501,K00985.01,261.957910,2.002780,0.092958,0
Kepler,2854698,K00986.01,260.869310,8.187394,0.126967,1
Kepler,2854698,K00986.02,161.714450,76.049816,0.298250,1
Kepler,8559644,K00139.02,141.354720,3.341799,0.121892,1
Kepler,6032981,K01054.01,134.444000,3.322695,0.148667,0
Kepler,5866099,K01055.01,133.626810,36.977088,0.197375,0
Kepler,5964985,K01056.01,133.179950,1.851409,0.426333,0
Kepler,6066416,K01057.01,134.212010,1.303860,0.117663,0
Kepler,1996679,K00147.01,146.058800,145.562493,0.225525,0
Kepler,2849805,K01116.01,135.108370,3.749106,0.082608,1
Kepler,3114811,K01117.01,141.761420,11.089566,0.261987,1
Kepler,3003992,K01119.01,139.104970,7.244761,0.096437,0
Kepler,3554031,K01194.01,363.056380,8.707983,0.103767,1
Kepler,3554031,K01194.03,352.996740,4.176343,0.097292,1
Kepler,8394721,K00152.02,133.628400,27.402299,0.285379,1
Kepler,7295235,K00987.01,261.841607,3.179267,0.042692,1
Kepler,2302548,K00988.01,268.024210,10.381224,0.113125,1
Kepler,2302548,K00988.02,135.872090,24.570902,0.149458,1
Kepler,10743597,K00989.01,184.261640,81.221876,0.171396,0
Kepler,10743597,K00989.02,132.835239,0.817026,0.086662,0
Kepler,9818381,K00135.01,132.416857,3.024093,0.116754,1
Kepler,6124941,K01058.01,136.201739,5.670156,0.039004,0
Kepler,6060203,K01059.01,133.454220,1.022679,0.057133,1
Kepler,5880320,K01060.01,140.212580,12.109687,0.264421,1
Kepler,5880320,K01060.02,137.696360,4.757961,0.194167,1
Kepler,5880320,K01060.03,147.438940,20.497276,0.355667,1
Kepler,3003992,K01119.02,139.816090,13.554805,0.095333,0
Kepler,6307537,K01120.01,172.386652,29.744547,0.970175,0
Kepler,6359798,K01121.01,140.698466,14.154024,0.186250,0
Kepler,6311681,K01122.01,134.216987,0.844786,0.147038,0
Kepler,6365321,K01123.01,133.585301,0.848484,0.060213,0
Kepler,6301035,K01124.01,143.284370,11.990976,0.239171,0
Kepler,3859079,K01199.01,147.864640,53.529270,0.236167,1
Kepler,3557493,K01200.01,133.310396,0.393727,0.122917,0
Kepler,3444588,K01202.01,133.803580,0.928310,0.049579,1
Kepler,8394721,K00152.03,136.618080,13.484577,0.209154,1
Kepler,3962243,K01203.01,160.206960,31.884147,0.255083,1
Kepler,10015516,K00990.01,138.534171,67.692139,2.139542,0
Kepler,10154388,K00991.01,138.222290,12.062230,0.085767,1
Kepler,1432789,K00992.01,136.491280,9.931463,0.236583,1
Kepler,1718189,K00993.01,144.320310,21.853629,0.143292,1
Kepler,5880320,K01060.04,138.996170,8.193451,0.218083,1
Kepler,5130369,K00140.01,137.170610,19.978670,0.423667,0
Kepler,6037187,K01061.01,142.819190,41.805954,0.252375,1
Kepler,6147122,K01062.01,142.210960,15.451582,0.100250,0
Kepler,8257407,K01063.01,176.306015,89.698169,0.230908,0
Kepler,8218274,K01064.01,133.465454,1.187352,0.208292,0
Kepler,3964562,K00015.01,135.259271,3.012477,0.130933,0
Kepler,5735762,K00148.01,124.061465,4.778003,0.114004,1
Kepler,6292162,K01125.01,357.519981,7.814839,0.125508,0
Kepler,6307521,K01126.01,157.385190,29.745250,0.945625,0
Kepler,6359320,K01127.01,357.126170,5.326673,0.141854,1
Kepler,3848972,K01187.01,131.947273,0.741057,0.043875,0
Kepler,3860441,K01188.01,133.272520,2.988085,0.153333,0
Kepler,3765771,K01189.01,133.227846,2.783883,0.102275,0
Kepler,3557341,K01190.01,178.587454,0.393727,0.125833,0
Kepler,1718189,K00993.02,137.631480,13.060794,0.133958,1
Kepler,3858949,K00995.01,154.882120,25.951846,0.607542,0
Kepler,3858824,K00996.01,154.882780,25.951854,0.614792,0
Kepler,2157247,K00997.01,135.892690,5.686287,0.732208,0
Kepler,7601633,K00136.01,147.395712,15.663887,0.103229,0
Kepler,8242681,K01065.01,133.638478,4.020629,0.183688,0
Kepler,8246781,K01067.01,273.185533,185.022882,0.203052,0
Kepler,8264070,K01068.01,450.757390,2.897432,0.132471,0
Kepler,8222813,K01069.01,357.559410,8.704205,0.122437,1
Kepler,6359320,K01127.02,358.683670,8.128093,0.155292,1
Kepler,6362874,K01128.01,133.076265,0.974869,0.067462,1
Kepler,6272413,K01129.01,133.398520,4.897210,0.075500,1
Kepler,8279765,K01130.01,135.232863,2.757794,0.115183,0
Kepler,8330548,K01132.01,134.644919,1.914159,0.137154,0
Kepler,3348082,K01196.01,135.527490,3.982167,0.099833,0
Kepler,3853673,K01197.01,133.984483,0.643794,0.065258,0
Kepler,3447722,K01198.01,139.491840,16.088323,0.238792,1
Kepler,3447722,K01198.02,142.742510,10.300679,0.203542,1
Kepler,3447722,K01198.03,145.007170,35.675745,0.307542,1
Kepler,1432214,K00998.01,214.039000,161.788327,0.221250,0
Kepler,2165002,K00999.01,146.152850,16.568068,0.177696,1
Kepler,2165002,K00999.02,151.416140,47.332930,0.112833,1
Kepler,2441728,K01000.01,133.675210,0.856895,0.054492,0
Kepler,1871056,K01001.01,155.715860,40.806533,0.547292,1
Kepler,8222813,K01069.02,354.930930,2.466970,0.068104,1
Kepler,8240904,K01070.01,360.366940,6.618363,0.153387,1
Kepler,8240904,K01070.02,354.195220,107.721409,0.335083,1
Kepler,8374494,K01133.01,357.321883,5.251916,0.204563,0
Kepler,5735762,K00148.02,125.339418,9.673958,0.136004,1
